
/pkg/cadence/installs/PVS231/tools.lnx86/pvs/bin/64bit/edbToEcdb Output Summary
========================================================================

Delete EDB      : N
EDB Library dir : hvswitch7_1078.db
ECDB dir        : ./
Top Cell        : hvswitch7
CDL netlist     : /home/saul/projects/ASKA/PvsLVS/hvswitch7/svdb/hvswitch7.net
Layer map file  : /home/saul/projects/ASKA/PvsLVS/hvswitch7/svdb/hvswitch7.ecdbmap
Text map file   : /home/saul/projects/ASKA/PvsLVS/hvswitch7/svdb/hvswitch7.ports
Dependency map  : hvswitch7.lmap.perc
Lvs file        : /home/saul/projects/ASKA/PvsLVS/hvswitch7/svdb/hvswitch7.lvsfile
Float net file  : .hvswitch7.info.softchk
threads         : 32
debug           : 0
Source Library  : hvswitch7_1078
